hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 21-1  3.997e+01  [0 1.000e+00 2.642e-05 7.431e-07]  [48 -141 1]
 NS 21-2  4.049e+01  [-5 5.074e-01 1.341e-05 4.280e-07]  [37 -147 63]
 NS 21-3s 4.096e+01  [-41 8.709e-03 2.301e-07 9.547e-07]  [39 -139 70]
 NS 22-1  4.147e+01  [0 1.000e+00 1.330e-04 5.970e-07]  [39 -143 64]
 NS 22-2  4.191e+01  [-28 3.776e-02 5.024e-06 4.513e-07]  [37 -146 71]
 NS 22-3s 4.239e+01  [-62 7.564e-04 1.006e-07 5.518e-07]  [38 -144 70]
 NS 23-1  4.289e+01  [0 1.000e+00 1.616e-04 7.368e-07]  [39 -141 67]
 NS 23-2  4.340e+01  [-37 1.308e-02 2.113e-06 9.838e-07]  [38 -138 74]
 NS 23-3s 4.388e+01  [-71 2.797e-04 4.519e-08 7.203e-07]  [38 -141 66]
 NS 24-1  4.442e+01  [0 1.000e+00 1.423e-04 7.719e-07]  [39 -141 69]
 NS 24-2  4.485e+01  [-42 7.479e-03 1.064e-06 7.348e-07]  [36 -141 70]
 NS 24-3s 4.546e+01  [-75 1.619e-04 2.303e-08 5.734e-07]  [39 -144 77]
 NS 25-1  4.598e+01  [0 1.000e+00 1.088e-04 9.185e-07]  [39 -139 65]
 NS 25-2s 4.645e+01  [-45 5.358e-03 5.830e-07 5.026e-07]  [37 -145 68]
 NS 26-1  4.694e+01  [0 1.000e+00 7.670e-05 7.891e-07]  [39 -141 67]
 NS 26-2s 4.745e+01  [-47 4.103e-03 3.147e-07 6.394e-07]  [37 -143 72]
 NS 27-1  4.795e+01  [0 1.000e+00 5.123e-05 4.512e-07]  [40 -146 67]
 NS 27-2s 4.842e+01  [-49 3.234e-03 1.657e-07 7.187e-07]  [37 -141 70]
 NS 28-1  4.891e+01  [0 1.000e+00 3.293e-05 8.835e-07]  [39 -139 67]
 NS 28-2s 4.960e+01  [-51 2.659e-03 8.755e-08 3.899e-07]  [38 -148 75]
 NS 29-1  5.011e+01  [0 1.000e+00 2.055e-05 7.173e-07]  [39 -141 67]
 NS 29-2s 5.057e+01  [-52 2.292e-03 4.710e-08 9.227e-07]  [38 -139 70]
 NS 30-1  5.108e+01  [0 1.000e+00 1.253e-05 6.995e-07]  [39 -142 68]
 NS 30-2s 5.156e+01  [-53 2.039e-03 2.556e-08 9.892e-07]  [39 -138 68]
