hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 201-1  3.905e+02  [0 1.000e+00 5.629e-04 6.021e-07]  [56 -143 0]
 NS 201-2  3.916e+02  [-1 8.086e-01 4.551e-04 3.701e-07]  [51 -148 82]
 NS 201-3  3.927e+02  [-16 1.466e-01 8.251e-05 3.421e-07]  [53 -149 81]
 NS 201-4  3.934e+02  [-34 1.950e-02 1.098e-05 8.837e-07]  [54 -139 78]
 NS 201-5  3.938e+02  [-52 2.351e-03 1.323e-06 8.543e-07]  [50 -140 79]
 NS 201-6s 3.948e+02  [-69 3.232e-04 1.819e-07 7.127e-07]  [48 -142 81]
 NS 202-1  3.961e+02  [0 1.000e+00 5.709e-04 4.433e-07]  [54 -146 75]
 NS 202-2  3.971e+02  [-8 3.691e-01 2.107e-04 5.808e-07]  [51 -144 86]
 NS 202-3  3.979e+02  [-23 6.954e-02 3.970e-05 1.552e-07]  [53 -157 68]
 NS 202-4  3.992e+02  [-40 9.751e-03 5.567e-06 5.814e-07]  [53 -144 91]
 NS 202-5s 4.005e+02  [-58 1.220e-03 6.965e-07 7.182e-07]  [52 -141 83]
 NS 203-1  4.019e+02  [0 1.000e+00 5.939e-04 3.718e-07]  [55 -148 80]
 NS 203-2  4.028e+02  [-16 1.569e-01 9.318e-05 6.182e-07]  [54 -143 68]
 NS 203-3  4.032e+02  [-30 3.047e-02 1.809e-05 8.741e-07]  [53 -140 80]
 NS 203-4  4.036e+02  [-47 4.407e-03 2.617e-06 2.640e-07]  [54 -151 81]
 NS 203-5s 4.042e+02  [-65 5.599e-04 3.325e-07 9.067e-07]  [50 -139 84]
 NS 204-1  4.047e+02  [0 1.000e+00 4.972e-04 9.749e-07]  [53 -138 74]
 NS 204-2  4.051e+02  [-20 9.213e-02 4.581e-05 6.008e-07]  [56 -143 81]
 NS 204-3  4.055e+02  [-35 1.756e-02 8.732e-06 7.966e-07]  [53 -140 80]
 NS 204-4  4.059e+02  [-52 2.499e-03 1.243e-06 9.249e-07]  [52 -139 80]
 NS 204-5s 4.063e+02  [-70 3.157e-04 1.570e-07 3.519e-07]  [50 -149 76]
 NS 205-1  4.067e+02  [0 1.000e+00 3.715e-04 9.682e-07]  [54 -138 75]
 NS 205-2  4.072e+02  [-23 6.901e-02 2.564e-05 9.729e-07]  [62 -138 83]
 NS 205-3  4.076e+02  [-38 1.248e-02 4.635e-06 3.218e-07]  [53 -149 80]
 NS 205-4s 4.080e+02  [-55 1.706e-03 6.337e-07 2.538e-07]  [54 -152 78]
 NS 206-1  4.085e+02  [0 1.000e+00 2.592e-04 2.850e-07]  [55 -151 75]
 NS 206-2  4.090e+02  [-25 5.402e-02 1.400e-05 2.755e-07]  [58 -151 85]
 NS 206-3  4.094e+02  [-40 9.762e-03 2.531e-06 4.118e-07]  [53 -147 75]
 NS 206-4s 4.098e+02  [-57 1.325e-03 3.434e-07 8.283e-07]  [54 -140 79]
 NS 207-1  4.102e+02  [0 1.000e+00 1.724e-04 3.521e-07]  [55 -149 73]
 NS 207-2  4.106e+02  [-27 4.172e-02 7.190e-06 8.543e-07]  [54 -140 79]
 NS 207-3  4.110e+02  [-42 7.756e-03 1.337e-06 4.752e-07]  [53 -146 82]
 NS 207-4s 4.114e+02  [-59 1.073e-03 1.849e-07 5.892e-07]  [58 -143 79]
 NS 208-1  4.119e+02  [0 1.000e+00 1.105e-04 9.776e-07]  [53 -138 74]
 NS 208-2  4.124e+02  [-29 3.314e-02 3.662e-06 4.593e-07]  [54 -146 72]
 NS 208-3s 4.128e+02  [-44 6.259e-03 6.917e-07 9.122e-07]  [52 -139 81]
 NS 209-1  4.133e+02  [0 1.000e+00 6.883e-05 3.910e-07]  [55 -148 77]
 NS 209-2  4.137e+02  [-30 2.885e-02 1.986e-06 6.766e-07]  [49 -142 78]
 NS 209-3s 4.141e+02  [-45 5.310e-03 3.655e-07 7.693e-07]  [52 -141 78]
 NS 210-1  4.145e+02  [0 1.000e+00 4.192e-05 3.253e-07]  [55 -149 75]
 NS 210-2  4.149e+02  [-31 2.657e-02 1.114e-06 9.817e-07]  [53 -138 81]
 NS 210-3s 4.156e+02  [-46 4.762e-03 1.996e-07 2.463e-07]  [53 -152 78]
