hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 81-1  1.282e+02  [0 1.000e+00 3.300e-05 8.643e-07]  [55 -140 0]
 NS 81-2  1.287e+02  [-1 8.710e-01 2.874e-05 5.664e-07]  [50 -144 76]
 NS 81-3  1.292e+02  [-15 1.592e-01 5.252e-06 3.880e-07]  [50 -148 85]
 NS 81-4s 1.296e+02  [-33 2.085e-02 6.879e-07 5.513e-07]  [48 -144 72]
 NS 82-1  1.301e+02  [0 1.000e+00 1.830e-05 7.205e-07]  [55 -141 73]
 NS 82-2  1.305e+02  [-2 7.354e-01 1.346e-05 6.138e-07]  [52 -143 81]
 NS 82-3  1.309e+02  [-17 1.405e-01 2.570e-06 7.228e-07]  [48 -141 78]
 NS 82-4s 1.312e+02  [-34 1.918e-02 3.509e-07 7.436e-07]  [44 -141 74]
 NS 83-1  1.317e+02  [0 1.000e+00 1.707e-05 5.836e-07]  [53 -144 68]
 NS 83-2  1.321e+02  [-9 3.438e-01 5.870e-06 2.979e-07]  [53 -150 80]
 NS 83-3  1.326e+02  [-23 6.901e-02 1.178e-06 6.926e-07]  [48 -142 76]
 NS 83-4s 1.330e+02  [-40 9.738e-03 1.663e-07 7.812e-07]  [46 -141 79]
 NS 84-1  1.335e+02  [0 1.000e+00 1.350e-05 9.940e-07]  [52 -138 73]
 NS 84-2  1.338e+02  [-13 2.129e-01 2.875e-06 6.234e-07]  [51 -143 79]
 NS 84-3s 1.342e+02  [-27 4.137e-02 5.585e-07 4.574e-07]  [49 -146 77]
 NS 85-1  1.347e+02  [0 1.000e+00 9.884e-06 4.518e-07]  [54 -146 74]
 NS 85-2  1.350e+02  [-15 1.658e-01 1.639e-06 9.112e-07]  [49 -139 78]
 NS 85-3s 1.355e+02  [-30 2.988e-02 2.953e-07 5.117e-07]  [49 -145 83]
 NS 86-1  1.359e+02  [0 1.000e+00 6.875e-06 4.875e-07]  [54 -145 74]
 NS 86-2s 1.364e+02  [-17 1.305e-01 8.975e-07 5.282e-07]  [49 -145 81]
 NS 87-1  1.369e+02  [0 1.000e+00 4.614e-06 4.611e-07]  [54 -146 75]
 NS 87-2s 1.373e+02  [-20 9.988e-02 4.608e-07 7.191e-07]  [50 -141 77]
 NS 88-1  1.378e+02  [0 1.000e+00 2.967e-06 4.335e-07]  [54 -147 69]
 NS 88-2s 1.382e+02  [-21 8.047e-02 2.387e-07 7.633e-07]  [51 -141 78]
 NS 89-1  1.387e+02  [0 1.000e+00 1.848e-06 3.918e-07]  [54 -148 76]
 NS 89-2s 1.391e+02  [-23 6.751e-02 1.248e-07 6.023e-07]  [53 -143 78]
 NS 90-1  1.396e+02  [0 1.000e+00 1.127e-06 4.378e-07]  [54 -146 77]
 NS 90-2s 1.402e+02  [-24 5.907e-02 6.654e-08 8.421e-07]  [54 -140 79]
