hwloc/linux: Ignoring PCI device with non-16bit domain.
Pass --enable-32bits-pci-domain to configure to support such devices
(warning: it would break the library ABI, don't enable unless really needed).
---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 <PETSC_INITIALIZE>: use linear solver config. from file.
 NS 11-1  2.330e+01  [0 1.000e+00 2.606e-03 3.354e-07]  [40 -149 1]
 NS 11-2  2.374e+01  [-37 1.340e-02 3.492e-05 8.301e-07]  [37 -140 69]
 NS 11-3  2.420e+01  [-66 4.726e-04 1.232e-06 1.680e-07]  [40 -156 72]
 NS 11-4s 2.467e+01  [-83 6.558e-05 1.709e-07 4.483e-07]  [41 -146 71]
 NS 12-1  2.516e+01  [0 1.000e+00 1.839e-03 8.668e-07]  [39 -140 66]
 NS 12-2  2.560e+01  [-42 7.934e-03 1.459e-05 7.475e-07]  [38 -141 71]
 NS 12-3s 2.606e+01  [-67 4.053e-04 7.452e-07 6.346e-07]  [39 -143 71]
 NS 13-1  2.655e+01  [0 1.000e+00 1.275e-03 4.041e-07]  [40 -147 67]
 NS 13-2  2.699e+01  [-44 5.826e-03 7.430e-06 4.531e-07]  [38 -146 71]
 NS 13-3s 2.747e+01  [-68 3.776e-04 4.816e-07 7.759e-07]  [41 -141 72]
 NS 14-1  2.796e+01  [0 1.000e+00 8.552e-04 8.324e-07]  [40 -140 67]
 NS 14-2  2.841e+01  [-45 5.269e-03 4.507e-06 4.857e-07]  [39 -145 72]
 NS 14-3s 2.892e+01  [-68 3.617e-04 3.093e-07 8.230e-07]  [45 -140 73]
 NS 15-1  2.941e+01  [0 1.000e+00 5.571e-04 2.856e-07]  [40 -151 67]
 NS 15-2  2.986e+01  [-45 5.039e-03 2.807e-06 4.035e-07]  [39 -147 72]
 NS 15-3s 3.033e+01  [-68 3.569e-04 1.988e-07 7.965e-07]  [41 -140 71]
 NS 16-1  3.082e+01  [0 1.000e+00 3.533e-04 2.854e-07]  [40 -151 67]
 NS 16-2  3.127e+01  [-46 4.807e-03 1.699e-06 4.137e-07]  [39 -147 72]
 NS 16-3s 3.173e+01  [-68 3.687e-04 1.303e-07 6.880e-07]  [39 -142 70]
 NS 17-1  3.222e+01  [0 1.000e+00 2.192e-04 5.485e-07]  [40 -144 67]
 NS 17-2  3.266e+01  [-46 4.837e-03 1.061e-06 9.737e-07]  [38 -138 71]
 NS 17-3s 3.313e+01  [-68 3.979e-04 8.724e-08 4.895e-07]  [40 -145 71]
 NS 18-1  3.362e+01  [0 1.000e+00 1.334e-04 4.846e-07]  [40 -145 67]
 NS 18-2s 3.408e+01  [-45 5.291e-03 7.060e-07 2.637e-07]  [40 -151 71]
 NS 19-1  3.457e+01  [0 1.000e+00 7.987e-05 9.948e-07]  [39 -138 67]
 NS 19-2s 3.503e+01  [-44 5.900e-03 4.712e-07 7.433e-07]  [39 -141 71]
 NS 20-1  3.554e+01  [0 1.000e+00 4.711e-05 8.192e-07]  [40 -140 66]
 NS 20-2s 3.601e+01  [-44 6.309e-03 2.973e-07 1.613e-07]  [40 -156 71]
