---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 1-1  5.580e-01  [0 1.000e+00 1.000e+00 7.259e-07]  [34 -141 55]
 NS 1-2  1.054e+00  [-54 1.866e-03 1.866e-03 6.723e-07]  [39 -142 72]
 NS 1-3  1.572e+00  [-70 2.925e-04 2.925e-04 6.391e-07]  [39 -143 75]
 NS 1-4  2.049e+00  [-92 2.259e-05 2.259e-05 2.092e-07]  [41 -154 73]
 NS 1-5  2.570e+00  [-110 3.155e-06 3.155e-06 3.147e-07]  [40 -150 75]
 NS 1-6s 3.083e+00  [-134 1.990e-07 1.990e-07 1.359e-07]  [45 -158 73]
 NS 2-1  3.699e+00  [0 1.000e+00 2.149e-01 9.229e-07]  [50 -139 68]
 NS 2-2  4.497e+00  [-46 4.906e-03 1.054e-03 2.002e-07]  [42 -154 82]
 NS 2-3  4.960e+00  [-71 2.562e-04 5.506e-05 4.742e-07]  [39 -146 71]
 NS 2-4  5.514e+00  [-85 5.015e-05 1.078e-05 4.131e-07]  [47 -147 77]
 NS 2-5s 5.980e+00  [-109 3.224e-06 6.929e-07 7.319e-07]  [39 -141 71]
 NS 3-1  6.550e+00  [0 1.000e+00 1.693e-01 6.898e-07]  [37 -142 71]
 NS 3-2  7.105e+00  [-47 4.084e-03 6.914e-04 8.316e-07]  [46 -140 76]
 NS 3-3  7.635e+00  [-73 2.163e-04 3.661e-05 8.759e-07]  [39 -139 66]
 NS 3-4  8.101e+00  [-89 3.443e-05 5.828e-06 6.639e-07]  [40 -142 72]
 NS 3-5s 8.595e+00  [-111 2.520e-06 4.266e-07 8.026e-07]  [42 -140 71]
 NS 4-1  9.123e+00  [0 1.000e+00 8.437e-02 5.321e-07]  [43 -144 68]
 NS 4-2  9.628e+00  [-46 4.497e-03 3.794e-04 2.857e-07]  [43 -151 72]
 NS 4-3  1.008e+01  [-73 2.095e-04 1.768e-05 4.302e-07]  [38 -147 72]
 NS 4-4  1.056e+01  [-85 5.458e-05 4.605e-06 4.307e-07]  [40 -147 70]
 NS 4-5s 1.106e+01  [-111 2.675e-06 2.257e-07 5.276e-07]  [43 -145 73]
 NS 5-1  1.162e+01  [0 1.000e+00 5.485e-02 9.065e-07]  [39 -139 67]
 NS 5-2  1.209e+01  [-48 3.940e-03 2.161e-04 5.878e-07]  [40 -143 73]
 NS 5-3  1.255e+01  [-69 3.299e-04 1.810e-05 5.897e-07]  [39 -143 71]
 NS 5-4  1.302e+01  [-84 6.048e-05 3.318e-06 3.308e-07]  [40 -149 72]
 NS 5-5s 1.353e+01  [-107 4.400e-06 2.414e-07 9.189e-07]  [44 -139 73]
 NS 6-1  1.405e+01  [0 1.000e+00 3.303e-02 4.698e-07]  [41 -146 68]
 NS 6-2  1.458e+01  [-48 3.908e-03 1.291e-04 7.647e-07]  [41 -141 76]
 NS 6-3  1.502e+01  [-70 2.891e-04 9.547e-06 9.074e-07]  [37 -139 71]
 NS 6-4  1.561e+01  [-84 5.789e-05 1.912e-06 3.328e-07]  [45 -149 78]
 NS 6-5s 1.611e+01  [-107 4.070e-06 1.344e-07 4.211e-07]  [44 -147 73]
 NS 7-1  1.665e+01  [0 1.000e+00 2.066e-02 6.818e-07]  [40 -142 64]
 NS 7-2  1.721e+01  [-47 4.035e-03 8.334e-05 7.151e-07]  [51 -142 77]
 NS 7-3  1.770e+01  [-69 3.188e-04 6.585e-06 6.548e-07]  [43 -142 73]
 NS 7-4  1.817e+01  [-84 5.675e-05 1.172e-06 6.190e-07]  [40 -143 72]
 NS 7-5s 1.872e+01  [-105 5.266e-06 1.088e-07 2.026e-07]  [43 -154 69]
 NS 8-1  1.926e+01  [0 1.000e+00 1.258e-02 4.485e-07]  [40 -146 69]
 NS 8-2  1.977e+01  [-47 4.264e-03 5.363e-05 4.904e-07]  [41 -145 67]
 NS 8-3  2.024e+01  [-69 3.194e-04 4.017e-06 7.137e-07]  [39 -142 73]
 NS 8-4s 2.071e+01  [-85 5.450e-05 6.855e-07 9.329e-07]  [39 -139 71]
 NS 9-1  2.122e+01  [0 1.000e+00 7.632e-03 3.818e-07]  [40 -148 67]
 NS 9-2  2.181e+01  [-47 4.415e-03 3.369e-05 9.997e-07]  [43 -138 70]
 NS 9-3  2.231e+01  [-69 3.428e-04 2.616e-06 1.328e-07]  [41 -158 73]
 NS 9-4s 2.278e+01  [-85 5.502e-05 4.199e-07 3.281e-07]  [40 -149 71]
 NS 10-1  2.331e+01  [0 1.000e+00 4.549e-03 3.162e-07]  [40 -150 69]
 NS 10-2  2.379e+01  [-46 4.704e-03 2.140e-05 5.293e-07]  [40 -145 70]
 NS 10-3  2.428e+01  [-68 3.625e-04 1.649e-06 1.728e-07]  [40 -156 74]
 NS 10-4s 2.476e+01  [-84 5.780e-05 2.629e-07 2.580e-07]  [41 -152 72]
